# BUSCO version is: 3.1.0 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i augustus.hints.aa -o busco_search_alt -l fungi_odb9/ -m proteins -c 3
#
# Busco id	Status	Sequence	Score	Length
EOG092C36CW	Complete	g8806.t1	464.8	277
EOG092C36IX	Complete	g6310.t1	316.4	296
EOG092C36RH	Complete	g2653.t1	301.5	292
EOG092C3703	Complete	g10836.t1	465.1	392
EOG092C37AK	Complete	g8713.t1	389.8	255
EOG092C38HU	Complete	g3914.t1	389.9	312
EOG092C3D5H	Complete	g1112.t1	502.8	470
EOG092C3DT5	Complete	g2811.t1	372.9	332
EOG092C3DV0	Complete	g10692.t1	307.5	266
EOG092C3ENF	Complete	g9184.t1	320.3	228
EOG092C3F88	Complete	g8737.t1	295.7	285
EOG092C3GCF	Complete	g7149.t1	333.7	293
EOG092C3HLI	Complete	g4592.t1	370.0	330
EOG092C3IJW	Complete	g4928.t1	454.4	292
EOG092C3JEN	Complete	g1640.t1	463.8	268
EOG092C3JIJ	Complete	g7046.t1	331.0	329
EOG092C3L9G	Complete	g7334.t1	192.6	153
EOG092C3LZ4	Complete	g9825.t1	361.0	298
EOG092C3MKB	Complete	g3241.t1	258.5	255
EOG092C3MZF	Complete	g4860.t1	119.3	63
EOG092C3N1W	Complete	g7647.t1	445.1	388
EOG092C3ND9	Complete	g7827.t1	271.5	218
EOG092C3NTC	Complete	g3673.t1	320.3	256
EOG092C3NVX	Complete	g7180.t1	499.5	336
EOG092C3P8T	Complete	g4476.t1	389.0	295
EOG092C3QQ6	Complete	g9854.t1	445.4	265
EOG092C3RZP	Complete	g5143.t1	235.0	246
EOG092C3SC6	Complete	g7965.t1	306.8	209
EOG092C3TX5	Complete	g7390.t1	200.0	161
EOG092C3VJP	Complete	g4507.t1	200.3	224
EOG092C3WW5	Complete	g6212.t1	130.7	161
EOG092C3Z6E	Complete	g6282.t1	217.8	256
EOG092C3ZSC	Complete	g4150.t1	194.3	146
EOG092C40AW	Complete	g10899.t1	459.2	264
EOG092C410Y	Complete	g7591.t1	222.8	166
EOG092C42ZN	Complete	g9246.t1	372.6	238
EOG092C441A	Complete	g11050.t1	286.2	248
EOG092C44EY	Complete	g7712.t1	437.5	258
EOG092C44LK	Complete	g36.t1	144.2	127
EOG092C44YB	Complete	g728.t1	404.7	313
EOG092C46M0	Complete	g9660.t1	279.6	185
EOG092C46VR	Complete	g9757.t1	146.4	175
EOG092C47TW	Complete	g4844.t1	134.9	128
EOG092C481U	Complete	g9685.t1	348.6	234
EOG092C484E	Complete	g4448.t1	320.6	221
EOG092C48JI	Complete	g3150.t1	194.5	151
EOG092C495C	Complete	g1314.t1	177.1	187
EOG092C4A9Y	Complete	g821.t1	239.3	213
EOG092C4AQW	Complete	g1517.t1	160.2	136
EOG092C4AZQ	Complete	g720.t1	317.9	189
EOG092C4BDP	Complete	g725.t1	349.5	202
EOG092C4C2A	Complete	g7461.t1	189.4	164
EOG092C4CCH	Complete	g1976.t1	316.5	187
EOG092C4CGV	Complete	g3208.t1	227.8	165
EOG092C4CNP	Complete	g7737.t1	170.5	189
EOG092C4D28	Complete	g3365.t1	266.7	202
EOG092C4D5B	Complete	g3373.t1	375.5	232
EOG092C4DAK	Complete	g1824.t1	263.1	192
EOG092C4EGW	Complete	g7959.t1	428.7	310
EOG092C4F6L	Complete	g6292.t1	290.8	171
EOG092C4FRI	Complete	g3961.t1	273.3	241
EOG092C4FYC	Complete	g898.t1	369.4	199
EOG092C4H6Z	Complete	g1643.t1	190.0	166
EOG092C4HB9	Complete	g9689.t1	351.6	174
EOG092C4HDL	Complete	g5276.t1	194.4	160
EOG092C4IM8	Complete	g7637.t1	318.1	202
EOG092C4IR2	Complete	g9811.t1	146.0	109
EOG092C4IT1	Complete	g8938.t1	282.6	246
EOG092C4IV8	Complete	g4932.t1	349.1	215
EOG092C4IXB	Complete	g7467.t1	190.3	130
EOG092C4IYM	Complete	g8333.t1	316.8	412
EOG092C4JA1	Complete	g7340.t1	199.5	135
EOG092C4JEJ	Complete	g9975.t1	308.6	177
EOG092C4JF2	Complete	g6144.t1	293.5	204
EOG092C4JNL	Complete	g3514.t1	122.7	131
EOG092C4JOE	Complete	g10566.t1	173.5	178
EOG092C4JSY	Complete	g6741.t1	111.4	78
EOG092C4JUE	Complete	g4960.t1	366.7	226
EOG092C4KTI	Complete	g5003.t1	182.7	169
EOG092C4LP2	Complete	g11081.t1	371.9	172
EOG092C4LUM	Complete	g10768.t1	206.2	135
EOG092C4LX2	Complete	g3321.t1	136.8	113
EOG092C4N4W	Complete	g6299.t1	175.0	185
EOG092C4N9L	Complete	g5157.t1	286.0	186
EOG092C4P58	Complete	g4031.t1	262.8	185
EOG092C4PD0	Complete	g1469.t1	253.4	175
EOG092C4PIQ	Complete	g1741.t1	165.5	151
EOG092C4PJG	Complete	g7726.t1	267.7	238
EOG092C4PYA	Complete	g4044.t1	224.4	128
EOG092C4Q5B	Complete	g4356.t1	193.8	141
EOG092C4R9E	Complete	g10033.t1	380.3	347
EOG092C4RWB	Complete	g8236.t1	247.1	203
EOG092C4S0G	Complete	g1763.t1	215.5	188
EOG092C4SHL	Complete	g1630.t1	91.8	67
EOG092C4SQZ	Complete	g6834.t1	197.7	187
EOG092C4SZT	Complete	g7617.t1	122.7	147
EOG092C4UA5	Complete	g931.t1	369.1	275
EOG092C4UH1	Complete	g9888.t1	331.4	196
EOG092C4UKX	Complete	g1278.t1	174.0	124
EOG092C4V3H	Complete	g2757.t1	116.4	145
EOG092C4VOX	Complete	g3680.t1	159.1	126
EOG092C4VXI	Complete	g1560.t1	370.7	282
EOG092C4WQO	Complete	g9754.t1	136.1	179
EOG092C4X4T	Complete	g2209.t1	222.2	156
EOG092C4X4U	Complete	g6328.t1	255.7	162
EOG092C4Y4I	Complete	g9650.t1	251.7	164
EOG092C4ZUJ	Complete	g1786.t1	220.4	142
EOG092C4ZVL	Complete	g7677.t1	389.7	225
EOG092C50DB	Complete	g3780.t1	74.8	70
EOG092C50PJ	Complete	g5077.t1	337.4	178
EOG092C51AW	Complete	g3022.t1	253.5	224
EOG092C51LH	Complete	g8693.t1	234.0	185
EOG092C5246	Complete	g3523.t1	227.8	162
EOG092C52LO	Complete	g4863.t1	84.1	98
EOG092C52QV	Complete	g6050.t1	130.7	138
EOG092C52XD	Complete	g5033.t1	247.1	210
EOG092C53PI	Complete	g6301.t1	279.9	152
EOG092C54AQ	Complete	g1932.t1	270.6	153
EOG092C54E5	Complete	g11176.t1	151.9	169
EOG092C54JK	Complete	g9539.t1	175.9	131
EOG092C54Q4	Complete	g793.t1	189.7	147
EOG092C54X6	Complete	g3735.t1	69.5	75
EOG092C54XZ	Complete	g7314.t1	76.7	47
EOG092C5518	Complete	g5032.t1	220.1	123
EOG092C55QK	Complete	g1343.t1	108.9	106
EOG092C56A1	Complete	g9991.t1	139.6	198
EOG092C56EC	Complete	g1373.t1	195.8	166
EOG092C57J7	Complete	g1479.t1	162.0	118
EOG092C57KP	Complete	g9962.t1	194.7	167
EOG092C580G	Complete	g3791.t1	149.4	147
EOG092C58AK	Complete	g7579.t1	118.0	136
EOG092C58OI	Complete	g1264.t1	222.7	125
EOG092C59CG	Complete	g10006.t1	294.1	183
EOG092C59G3	Complete	g6154.t1	370.1	328
EOG092C59NU	Complete	g888.t1	144.2	103
EOG092C59RA	Complete	g4262.t1	76.3	63
EOG092C5A9A	Fragmented	g4383.t1	82.9	68
EOG092C5AR8	Complete	g8816.t1	200.9	174
EOG092C5BSI	Complete	g5563.t1	196.4	133
EOG092C5BSS	Complete	g8289.t1	150.2	110
EOG092C5BZ8	Complete	g10518.t1	256.8	152
EOG092C5DTV	Complete	g4473.t1	138.4	116
EOG092C5E45	Complete	g4773.t1	199.6	123
EOG092C5E5Z	Complete	g10235.t1	195.8	117
EOG092C5EQR	Complete	g5065.t1	89.5	76
EOG092C5G05	Complete	g9010.t1	148.8	100
EOG092C5G2T	Complete	g9005.t1	252.6	153
EOG092C5GXJ	Complete	g1923.t1	166.9	131
EOG092C5HF0	Complete	g8997.t1	81.7	93
EOG092C5HRI	Complete	g8308.t1	185.2	106
EOG092C5JQL	Complete	g8818.t1	130.2	91
EOG092C5K7L	Complete	g531.t1	194.7	133
EOG092C5KDG	Complete	g2181.t1	263.7	152
EOG092C5KXX	Complete	g3001.t1	202.8	120
EOG092C5L1U	Complete	g9744.t1	209.8	151
EOG092C5L7Q	Complete	g3434.t1	91.7	73
EOG092C5N82	Complete	g2881.t1	121.5	105
EOG092C5NLC	Complete	g3525.t1	96.2	87
EOG092C5O2N	Complete	g6233.t1	101.8	97
EOG092C5OAL	Complete	g10727.t1	136.9	94
EOG092C5OPO	Complete	g6809.t1	84.5	51
EOG092C5OR3	Complete	g10489.t1	133.2	83
EOG092C5Q82	Complete	g4853.t1	257.5	144
EOG092C5QTG	Complete	g904.t1	128.1	92
EOG092C5S4U	Complete	g2776.t1	47.4	164
EOG092C5T6H	Complete	g7425.t1	188.4	101
EOG092C5U93	Complete	g7749.t1	181.1	106
EOG092C5UXM	Complete	g8964.t1	97.0	98
EOG092C5V3D	Complete	g1190.t1	210.7	219
EOG092C5XAS	Complete	g7428.t1	81.2	94
EOG092C5XAZ	Complete	g1636.t1	66.3	67
EOG092C5Z2K	Complete	g5078.t1	119.7	79
EOG092C608K	Complete	g6142.t1	191.7	205
