# BUSCO version is: 3.1.0 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /busco/scripts/run_BUSCO.py -i Tatroviridev2_Proteins.proteins.fasta -o busco_search_ref -l fungi_odb9/ -m proteins -c 3
#
# Busco id	Status	Sequence	Score	Length
EOG092C0XD0	Complete	jgi|Triat2|321167|estExt_Genemark.C_contig_270344	307.6	298
EOG092C0Y9M	Complete	jgi|Triat2|35979|Triat1.e_gw1.3.2089.1	137.2	150
EOG092C0YZZ	Complete	jgi|Triat2|249984|estExt_Genewise1.C_contig_271773	739.3	469
EOG092C0ZT0	Complete	jgi|Triat2|249816|estExt_Genewise1.C_contig_271600	545.2	448
EOG092C11L7	Complete	jgi|Triat2|298483|estExt_fgenesh1_kg.C_contig_190332	577.0	405
EOG092C11NN	Complete	jgi|Triat2|130542|Triat1.estExt_fgenesh1_pg.C_11270	783.9	445
EOG092C121R	Complete	jgi|Triat2|134650|Triat1.estExt_Genewise1.C_11016	621.8	564
EOG092C12O0	Complete	jgi|Triat2|147099|Triat1.estExt_Genewise1Plus.C_10958	774.0	435
EOG092C12WO	Complete	jgi|Triat2|41906|Triat1.e_gw1.6.1100.1	460.4	454
EOG092C19ZG	Complete	jgi|Triat2|236383|estExt_Genewise1.C_contig_180049	1306.6	932
EOG092C1AHP	Complete	jgi|Triat2|130711|Triat1.estExt_fgenesh1_pg.C_11596	379.6	420
EOG092C1F4W	Complete	jgi|Triat2|156760|Triat1.estExt_Genewise1Plus.C_130487	937.2	456
EOG092C1FRM	Complete	jgi|Triat2|91430|Triat1.fgenesh1_pg.C_scaffold_10000306	429.1	446
EOG092C1ILX	Complete	jgi|Triat2|127244|Triat1.estExt_fgenesh1_pm.C_10836	201.0	223
EOG092C1JHE	Complete	jgi|Triat2|211488|estExt_Genewise1Plus.C_contig_140120	146.0	188
EOG092C1KCQ	Complete	jgi|Triat2|302936|estExt_fgenesh1_kg.C_contig_290130	633.5	440
EOG092C1KNC	Complete	jgi|Triat2|129135|Triat1.estExt_fgenesh1_pm.C_110069	338.7	303
EOG092C1M1S	Complete	jgi|Triat2|302704|estExt_fgenesh1_kg.C_contig_280280	300.1	321
EOG092C1O5L	Complete	jgi|Triat2|286302|estExt_fgenesh1_pg.C_contig_270142	676.8	507
EOG092C1OUP	Complete	jgi|Triat2|289887|estExt_fgenesh1_pm.C_contig_170150	604.6	451
EOG092C1PRY	Complete	jgi|Triat2|157818|Triat1.estExt_Genewise1Plus.C_160425	579.8	405
EOG092C1RXZ	Complete	jgi|Triat2|161079|Triat1.LUB_estExt_Genewise1Plus.C_60475	638.2	419
EOG092C1TLO	Complete	jgi|Triat2|37373|Triat1.e_gw1.3.568.1	613.7	585
EOG092C1U6R	Complete	jgi|Triat2|300764|estExt_fgenesh1_kg.C_contig_260068	600.1	386
EOG092C1UDO	Complete	jgi|Triat2|89543|Triat1.fgenesh1_pg.C_scaffold_6000504	540.1	338
EOG092C1URX	Complete	jgi|Triat2|148319|Triat1.estExt_Genewise1Plus.C_13485	615.2	366
EOG092C1VMQ	Complete	jgi|Triat2|288652|estExt_fgenesh1_pm.C_contig_110064	500.6	371
EOG092C1VT8	Complete	jgi|Triat2|234026|estExt_Genewise1.C_contig_150049	637.8	406
EOG092C1W1B	Complete	jgi|Triat2|33894|Triat1.e_gw1.2.801.1	703.6	504
EOG092C1WBG	Complete	jgi|Triat2|134831|Triat1.estExt_Genewise1.C_11411	427.5	434
EOG092C1YG7	Complete	jgi|Triat2|240236|estExt_Genewise1.C_contig_220316	401.4	276
EOG092C1ZRG	Complete	jgi|Triat2|151303|Triat1.estExt_Genewise1Plus.C_40312	399.2	274
EOG092C20OL	Complete	jgi|Triat2|150169|Triat1.estExt_Genewise1Plus.C_30276	413.5	303
EOG092C21L2	Complete	jgi|Triat2|302279|estExt_fgenesh1_kg.C_contig_270913	680.6	410
EOG092C221B	Complete	jgi|Triat2|165753|gw1.27.817.1	104.4	146
EOG092C22C1	Complete	jgi|Triat2|301030|estExt_fgenesh1_kg.C_contig_260334	567.3	389
EOG092C236M	Complete	jgi|Triat2|138825|Triat1.estExt_Genewise1.C_40357	583.4	436
EOG092C23X9	Complete	jgi|Triat2|299558|estExt_fgenesh1_kg.C_contig_230286	568.5	401
EOG092C24CZ	Complete	jgi|Triat2|141114|Triat1.estExt_Genewise1.C_70332	873.1	430
EOG092C24GU	Complete	jgi|Triat2|139326|Triat1.estExt_Genewise1.C_41309	556.9	430
EOG092C27SX	Complete	jgi|Triat2|289650|estExt_fgenesh1_pm.C_contig_160194	268.0	251
EOG092C28F5	Complete	jgi|Triat2|129766|Triat1.estExt_fgenesh1_pm.C_160075	547.5	301
EOG092C28I3	Complete	jgi|Triat2|214371|estExt_Genewise1Plus.C_contig_180035	1051.1	620
EOG092C2D1V	Complete	jgi|Triat2|41280|Triat1.e_gw1.5.927.1	694.7	430
EOG092C2DPS	Complete	jgi|Triat2|301080|estExt_fgenesh1_kg.C_contig_260384	487.6	354
EOG092C2GKC	Complete	jgi|Triat2|146349|Triat1.estExt_fgenesh1_kg.C_40049	523.3	364
EOG092C2GWG	Complete	jgi|Triat2|155131|Triat1.estExt_Genewise1Plus.C_100495	108.4	83
EOG092C2HER	Complete	jgi|Triat2|47239|Triat1.e_gw1.10.740.1	298.8	228
EOG092C2IFF	Complete	jgi|Triat2|134195|Triat1.estExt_fgenesh1_pg.C_190025	470.1	369
EOG092C2IG9	Complete	jgi|Triat2|153112|Triat1.estExt_Genewise1Plus.C_60707	289.4	208
EOG092C2JLG	Complete	jgi|Triat2|318735|estExt_Genemark.C_contig_240552	254.4	211
EOG092C2LSI	Complete	jgi|Triat2|164600|gw1.23.256.1	274.4	206
EOG092C2M8E	Complete	jgi|Triat2|315235|estExt_Genemark.C_contig_160328	186.1	231
EOG092C2MTS	Complete	jgi|Triat2|81910|Triat1.fgenesh1_pm.C_scaffold_10000219	269.3	279
EOG092C2OKO	Complete	jgi|Triat2|301514|estExt_fgenesh1_kg.C_contig_270148	626.5	340
EOG092C2Q7B	Complete	jgi|Triat2|34931|Triat1.e_gw1.2.253.1	169.7	181
EOG092C2Q7F	Complete	jgi|Triat2|300207|estExt_fgenesh1_kg.C_contig_250084	671.5	439
EOG092C2RKX	Complete	jgi|Triat2|296283|estExt_fgenesh1_pm.C_contig_280341	268.1	340
EOG092C2S2R	Complete	jgi|Triat2|292226|estExt_fgenesh1_pm.C_contig_230373	203.1	262
EOG092C2S9V	Complete	jgi|Triat2|297683|estExt_fgenesh1_kg.C_contig_170034	694.3	370
EOG092C2SCC	Complete	jgi|Triat2|301763|estExt_fgenesh1_kg.C_contig_270397	623.4	341
EOG092C2SEF	Complete	jgi|Triat2|297774|estExt_fgenesh1_kg.C_contig_170125	649.6	356
EOG092C2SKV	Complete	jgi|Triat2|85713|Triat1.fgenesh1_pg.C_scaffold_2000106	490.2	362
EOG092C2SMS	Complete	jgi|Triat2|265826|fgenesh1_pm.contig_25_#_520	220.6	182
EOG092C2TXG	Complete	jgi|Triat2|36898|Triat1.e_gw1.3.123.1	498.3	419
EOG092C2UIQ	Complete	jgi|Triat2|139926|Triat1.estExt_Genewise1.C_50825	529.3	388
EOG092C2V3O	Complete	jgi|Triat2|301009|estExt_fgenesh1_kg.C_contig_260313	613.9	364
EOG092C2VGW	Complete	jgi|Triat2|153211|Triat1.estExt_Genewise1Plus.C_60905	405.7	352
EOG092C2VJL	Complete	jgi|Triat2|43073|Triat1.e_gw1.7.324.1	500.2	335
EOG092C2X60	Complete	jgi|Triat2|78301|Triat1.fgenesh1_pm.C_scaffold_1000886	108.0	129
EOG092C2X6U	Complete	jgi|Triat2|140468|Triat1.estExt_Genewise1.C_60421	620.8	387
EOG092C2YBO	Complete	jgi|Triat2|298634|estExt_fgenesh1_kg.C_contig_200127	515.5	307
EOG092C2Z4E	Complete	jgi|Triat2|285850|estExt_fgenesh1_pg.C_contig_260768	299.0	289
EOG092C2ZCA	Complete	jgi|Triat2|301578|estExt_fgenesh1_kg.C_contig_270212	416.7	302
EOG092C317A	Complete	jgi|Triat2|133438|Triat1.estExt_fgenesh1_pg.C_120162	431.5	296
EOG092C31ZS	Complete	jgi|Triat2|302762|estExt_fgenesh1_kg.C_contig_280338	552.7	389
EOG092C330M	Complete	jgi|Triat2|49590|Triat1.e_gw1.12.280.1	403.2	304
EOG092C33JO	Complete	jgi|Triat2|223407|estExt_Genewise1Plus.C_contig_251335	392.4	314
EOG092C34FN	Complete	jgi|Triat2|51365|Triat1.e_gw1.14.473.1	320.5	236
EOG092C34KH	Complete	jgi|Triat2|78413|Triat1.fgenesh1_pm.C_scaffold_1000998	391.8	329
EOG092C355W	Complete	jgi|Triat2|305357|Genemark.2243_g	473.2	416
EOG092C35RK	Complete	jgi|Triat2|211192|estExt_Genewise1Plus.C_contig_130412	324.0	234
EOG092C35SR	Complete	jgi|Triat2|126920|Triat1.estExt_fgenesh1_pm.C_10203	619.2	379
EOG092C36CW	Complete	jgi|Triat2|52866|Triat1.e_gw1.16.228.1	464.8	277
EOG092C36IX	Complete	jgi|Triat2|212571|estExt_Genewise1Plus.C_contig_150622	316.4	296
EOG092C36RH	Complete	jgi|Triat2|146241|Triat1.estExt_fgenesh1_kg.C_20069	305.1	283
EOG092C3703	Complete	jgi|Triat2|222970|estExt_Genewise1Plus.C_contig_250884	465.1	392
EOG092C37AK	Complete	jgi|Triat2|297039|estExt_fgenesh1_kg.C_contig_130117	417.5	255
EOG092C38HU	Complete	jgi|Triat2|84318|Triat1.fgenesh1_pg.C_scaffold_1000350	389.8	312
EOG092C3D5H	Complete	jgi|Triat2|89336|Triat1.fgenesh1_pg.C_scaffold_6000297	497.8	507
EOG092C3DT5	Complete	jgi|Triat2|146225|Triat1.estExt_fgenesh1_kg.C_20053	372.9	332
EOG092C3DV0	Complete	jgi|Triat2|222660|estExt_Genewise1Plus.C_contig_250572	307.5	266
EOG092C3ENF	Complete	jgi|Triat2|298369|estExt_fgenesh1_kg.C_contig_190218	320.3	228
EOG092C3F88	Complete	jgi|Triat2|297022|estExt_fgenesh1_kg.C_contig_130100	235.5	239
EOG092C3GCF	Complete	jgi|Triat2|80052|Triat1.fgenesh1_pm.C_scaffold_4000507	331.2	293
EOG092C3HLI	Complete	jgi|Triat2|161790|gw1.27.108.1	370.3	330
EOG092C3IJW	Complete	jgi|Triat2|127278|Triat1.estExt_fgenesh1_pm.C_10898	454.4	292
EOG092C3JEN	Complete	jgi|Triat2|156322|Triat1.estExt_Genewise1Plus.C_120475	463.8	268
EOG092C3JIJ	Complete	jgi|Triat2|220443|estExt_Genewise1Plus.C_contig_240177	332.1	328
EOG092C3L9G	Complete	jgi|Triat2|243019|estExt_Genewise1.C_contig_240829	213.1	153
EOG092C3LZ4	Complete	jgi|Triat2|155534|Triat1.estExt_Genewise1Plus.C_110104	361.0	298
EOG092C3MKB	Complete	jgi|Triat2|225666|estExt_Genewise1Plus.C_contig_261783	258.5	255
EOG092C3MZF	Complete	jgi|Triat2|259021|fgenesh1_kg.contig_27_#_325_#_contig01681_MC_942_120	121.3	63
EOG092C3N1W	Complete	jgi|Triat2|221693|estExt_Genewise1Plus.C_contig_241505	445.1	388
EOG092C3ND9	Complete	jgi|Triat2|300109|estExt_fgenesh1_kg.C_contig_240519	271.5	218
EOG092C3NTC	Complete	jgi|Triat2|28801|Triat1.e_gw1.1.1753.1	320.3	256
EOG092C3NVX	Complete	jgi|Triat2|39363|Triat1.e_gw1.4.958.1	499.5	336
EOG092C3P8T	Complete	jgi|Triat2|28997|Triat1.e_gw1.1.3859.1	410.4	295
EOG092C3QQ6	Complete	jgi|Triat2|155498|Triat1.estExt_Genewise1Plus.C_110023	445.4	265
EOG092C3RZP	Complete	jgi|Triat2|258813|fgenesh1_kg.contig_27_#_117_#_contig02296_LC_1247_159	262.6	246
EOG092C3SC6	Complete	jgi|Triat2|152715|Triat1.estExt_Genewise1Plus.C_51472	306.8	209
EOG092C3TX5	Complete	jgi|Triat2|308617|Genemark.5503_g	200.0	161
EOG092C3VJP	Complete	jgi|Triat2|286836|estExt_fgenesh1_pg.C_contig_270723	200.3	224
EOG092C3WW5	Complete	jgi|Triat2|165171|gw1.15.194.1	130.3	161
EOG092C3Z6E	Complete	jgi|Triat2|234511|estExt_Genewise1.C_contig_150576	217.8	256
EOG092C3ZSC	Complete	jgi|Triat2|302124|estExt_fgenesh1_kg.C_contig_270758	194.5	146
EOG092C40AW	Complete	jgi|Triat2|300421|estExt_fgenesh1_kg.C_contig_250298	459.2	264
EOG092C410Y	Complete	jgi|Triat2|38957|Triat1.e_gw1.4.1298.1	222.8	166
EOG092C42ZN	Complete	jgi|Triat2|167303|gw1.19.295.1	372.7	238
EOG092C441A	Complete	jgi|Triat2|138308|Triat1.estExt_Genewise1.C_31506	286.2	248
EOG092C44EY	Complete	jgi|Triat2|300024|estExt_fgenesh1_kg.C_contig_240434	437.5	258
EOG092C44LK	Complete	jgi|Triat2|237085|estExt_Genewise1.C_contig_180902	144.2	127
EOG092C44YB	Complete	jgi|Triat2|298941|estExt_fgenesh1_kg.C_contig_210175	406.0	328
EOG092C46M0	Complete	jgi|Triat2|143209|Triat1.estExt_Genewise1.C_110504	279.6	185
EOG092C46VR	Complete	jgi|Triat2|91649|Triat1.fgenesh1_pg.C_scaffold_11000102	146.2	178
EOG092C47TW	Complete	jgi|Triat2|30439|Triat1.e_gw1.1.2464.1	138.9	128
EOG092C481U	Complete	jgi|Triat2|231783|estExt_Genewise1Plus.C_contig_290692	348.6	234
EOG092C484E	Complete	jgi|Triat2|130331|Triat1.estExt_fgenesh1_pg.C_10840	320.6	221
EOG092C48JI	Complete	jgi|Triat2|301103|estExt_fgenesh1_kg.C_contig_260407	203.4	151
EOG092C495C	Complete	jgi|Triat2|302747|estExt_fgenesh1_kg.C_contig_280323	184.4	189
EOG092C4A9Y	Complete	jgi|Triat2|295978|estExt_fgenesh1_pm.C_contig_280028	240.4	214
EOG092C4AQW	Complete	jgi|Triat2|7675|Triat1.gw1.12.425.1	160.3	136
EOG092C4AZQ	Complete	jgi|Triat2|298935|estExt_fgenesh1_kg.C_contig_210169	317.9	189
EOG092C4BDP	Complete	jgi|Triat2|298940|estExt_fgenesh1_kg.C_contig_210174	349.5	202
EOG092C4C2A	Complete	jgi|Triat2|292691|estExt_fgenesh1_pm.C_contig_240374	187.3	123
EOG092C4CCH	Complete	jgi|Triat2|297601|estExt_fgenesh1_kg.C_contig_160151	316.5	187
EOG092C4CGV	Complete	jgi|Triat2|301149|estExt_fgenesh1_kg.C_contig_260453	227.9	165
EOG092C4CNP	Complete	jgi|Triat2|284330|estExt_fgenesh1_pg.C_contig_240676	170.5	189
EOG092C4D28	Complete	jgi|Triat2|148985|Triat1.estExt_Genewise1Plus.C_20421	266.7	202
EOG092C4D5B	Complete	jgi|Triat2|148968|Triat1.estExt_Genewise1Plus.C_20398	375.5	232
EOG092C4DAK	Complete	jgi|Triat2|156524|Triat1.estExt_Genewise1Plus.C_120870	263.1	192
EOG092C4EGW	Fragmented	jgi|Triat2|299289|estExt_fgenesh1_kg.C_contig_230017	320.2	256
EOG092C4F6L	Complete	jgi|Triat2|297396|estExt_fgenesh1_kg.C_contig_150154	319.1	171
EOG092C4FRI	Complete	jgi|Triat2|134653|Triat1.estExt_Genewise1.C_11019	273.3	241
EOG092C4FYC	Complete	jgi|Triat2|259826|fgenesh1_kg.contig_28_#_71_#_CBWT_CBYP_CBYT_CCAH_336_1	369.5	199
EOG092C4H6Z	Complete	jgi|Triat2|49127|Triat1.e_gw1.12.404.1	190.0	166
EOG092C4HB9	Complete	jgi|Triat2|129179|Triat1.estExt_fgenesh1_pm.C_110145	351.6	174
EOG092C4HDL	Complete	jgi|Triat2|320874|estExt_Genemark.C_contig_270026	194.4	160
EOG092C4IM8	Complete	jgi|Triat2|131680|Triat1.estExt_fgenesh1_pg.C_40177	318.1	202
EOG092C4IR2	Complete	jgi|Triat2|323312|estExt_Genemark.C_contig_290417	146.0	109
EOG092C4IT1	Complete	jgi|Triat2|47762|Triat1.e_gw1.10.1093.1	282.6	246
EOG092C4IV8	Complete	jgi|Triat2|301638|estExt_fgenesh1_kg.C_contig_270272	349.1	215
EOG092C4IXB	Complete	jgi|Triat2|128105|Triat1.estExt_fgenesh1_pm.C_40276	190.9	130
EOG092C4IYM	Complete	jgi|Triat2|292179|estExt_fgenesh1_pm.C_contig_230324	342.4	461
EOG092C4JA1	Complete	jgi|Triat2|198017|e_gw1.24.1349.1	199.7	135
EOG092C4JEJ	Complete	jgi|Triat2|299023|estExt_fgenesh1_kg.C_contig_220065	308.6	177
EOG092C4JF2	Complete	jgi|Triat2|297297|estExt_fgenesh1_kg.C_contig_150055	294.4	204
EOG092C4JNL	Complete	jgi|Triat2|167360|gw1.26.628.1	122.8	131
EOG092C4JOE	Complete	jgi|Triat2|150214|Triat1.estExt_Genewise1Plus.C_30351	173.5	178
EOG092C4JSY	Complete	jgi|Triat2|157468|Triat1.estExt_Genewise1Plus.C_150343	111.4	78
EOG092C4JUE	Complete	jgi|Triat2|258952|fgenesh1_kg.contig_27_#_256_#_contig01301_LC_1175_1387	366.7	226
EOG092C4KTI	Complete	jgi|Triat2|294853|estExt_fgenesh1_pm.C_contig_270259	183.1	169
EOG092C4LP2	Complete	jgi|Triat2|300545|estExt_fgenesh1_kg.C_contig_250422	371.9	172
EOG092C4LUM	Complete	jgi|Triat2|300330|estExt_fgenesh1_kg.C_contig_250207	206.2	135
EOG092C4LX2	Complete	jgi|Triat2|310910|Genemark.7796_g	136.8	113
EOG092C4N4W	Complete	jgi|Triat2|157077|Triat1.estExt_Genewise1Plus.C_140185	175.0	185
EOG092C4N9L	Complete	jgi|Triat2|301471|estExt_fgenesh1_kg.C_contig_270105	314.4	186
EOG092C4P58	Complete	jgi|Triat2|321954|estExt_Genemark.C_contig_271206	262.8	185
EOG092C4PD0	Complete	jgi|Triat2|297680|estExt_fgenesh1_kg.C_contig_170031	253.4	175
EOG092C4PIQ	Complete	jgi|Triat2|129389|Triat1.estExt_fgenesh1_pm.C_120189	165.5	151
EOG092C4PJG	Complete	jgi|Triat2|300036|estExt_fgenesh1_kg.C_contig_240446	267.7	238
EOG092C4PYA	Complete	jgi|Triat2|302177|estExt_fgenesh1_kg.C_contig_270811	222.5	128
EOG092C4Q5B	Complete	jgi|Triat2|302013|estExt_fgenesh1_kg.C_contig_270647	193.8	141
EOG092C4R9E	Complete	jgi|Triat2|128554|Triat1.estExt_fgenesh1_pm.C_70123	415.9	347
EOG092C4RWB	Complete	jgi|Triat2|292097|estExt_fgenesh1_pm.C_contig_230241	247.1	203
EOG092C4S0G	Complete	jgi|Triat2|49744|Triat1.e_gw1.12.411.1	215.5	188
EOG092C4SHL	Complete	jgi|Triat2|156315|Triat1.estExt_Genewise1Plus.C_120450	91.9	67
EOG092C4SQZ	Complete	jgi|Triat2|298543|estExt_fgenesh1_kg.C_contig_200036	197.7	187
EOG092C4SZT	Complete	jgi|Triat2|138916|Triat1.estExt_Genewise1.C_40541	122.7	147
EOG092C4UA5	Complete	jgi|Triat2|302518|estExt_fgenesh1_kg.C_contig_280094	369.1	275
EOG092C4UH1	Complete	jgi|Triat2|146441|Triat1.estExt_fgenesh1_kg.C_70002	331.4	196
EOG092C4UKX	Complete	jgi|Triat2|153298|Triat1.estExt_Genewise1Plus.C_61072	174.0	124
EOG092C4V3H	Complete	jgi|Triat2|285511|estExt_fgenesh1_pg.C_contig_260406	116.4	145
EOG092C4VOX	Complete	jgi|Triat2|31632|Triat1.e_gw1.1.2410.1	159.2	126
EOG092C4VXI	Complete	jgi|Triat2|297743|estExt_fgenesh1_kg.C_contig_170094	370.7	282
EOG092C4WQO	Complete	jgi|Triat2|209866|e_gw1.29.756.1	136.1	179
EOG092C4X4T	Complete	jgi|Triat2|156634|Triat1.estExt_Genewise1Plus.C_130190	222.2	156
EOG092C4X4U	Complete	jgi|Triat2|297421|estExt_fgenesh1_kg.C_contig_150179	255.7	162
EOG092C4Y4I	Complete	jgi|Triat2|143226|Triat1.estExt_Genewise1.C_110531	251.7	164
EOG092C4ZUJ	Complete	jgi|Triat2|297883|estExt_fgenesh1_kg.C_contig_170234	220.4	142
EOG092C4ZVL	Complete	jgi|Triat2|243742|estExt_Genewise1.C_contig_241573	389.7	225
EOG092C50DB	Complete	jgi|Triat2|229473|estExt_Genewise1Plus.C_contig_273369	75.0	70
EOG092C50PJ	Complete	jgi|Triat2|258878|fgenesh1_kg.contig_27_#_182_#_CBWT_CBYP_CBYT_CCAH_47_1	337.4	178
EOG092C51AW	Complete	jgi|Triat2|33428|Triat1.e_gw1.2.312.1	253.5	224
EOG092C51LH	Complete	jgi|Triat2|52927|Triat1.e_gw1.16.708.1	234.0	185
EOG092C5246	Complete	jgi|Triat2|7480|Triat1.gw1.2.412.1	228.1	162
EOG092C52LO	Complete	jgi|Triat2|78270|Triat1.fgenesh1_pm.C_scaffold_1000855	84.1	98
EOG092C52QV	Complete	jgi|Triat2|146021|Triat1.estExt_Genewise1.C_220012	130.7	138
EOG092C52XD	Complete	jgi|Triat2|31787|Triat1.e_gw1.1.4042.1	247.1	210
EOG092C53PI	Complete	jgi|Triat2|297405|estExt_fgenesh1_kg.C_contig_150163	279.9	152
EOG092C54AQ	Complete	jgi|Triat2|297635|estExt_fgenesh1_kg.C_contig_160185	270.6	153
EOG092C54E5	Complete	jgi|Triat2|300611|estExt_fgenesh1_kg.C_contig_250488	184.7	169
EOG092C54JK	Complete	jgi|Triat2|302910|estExt_fgenesh1_kg.C_contig_290104	175.9	131
EOG092C54Q4	Complete	jgi|Triat2|302430|estExt_fgenesh1_kg.C_contig_280006	189.7	147
EOG092C54X6	Complete	jgi|Triat2|16456|Triat1.gw1.1.2227.1	69.5	75
EOG092C54XZ	Complete	jgi|Triat2|146345|Triat1.estExt_fgenesh1_kg.C_40045	77.8	47
EOG092C5518	Complete	jgi|Triat2|148397|Triat1.estExt_Genewise1Plus.C_13622	220.1	123
EOG092C55QK	Complete	jgi|Triat2|18943|Triat1.gw1.6.969.1	111.4	106
EOG092C56A1	Complete	jgi|Triat2|153634|Triat1.estExt_Genewise1Plus.C_70322	146.3	226
EOG092C56EC	Complete	jgi|Triat2|296407|estExt_fgenesh1_pm.C_contig_280465	212.8	166
EOG092C57J7	Complete	jgi|Triat2|297690|estExt_fgenesh1_kg.C_contig_170041	162.0	118
EOG092C57KP	Complete	jgi|Triat2|6664|Triat1.gw1.7.495.1	194.9	167
EOG092C580G	Complete	jgi|Triat2|302333|estExt_fgenesh1_kg.C_contig_270967	149.4	147
EOG092C58AK	Complete	jgi|Triat2|299948|estExt_fgenesh1_kg.C_contig_240358	118.0	136
EOG092C58OI	Complete	jgi|Triat2|302714|estExt_fgenesh1_kg.C_contig_280290	223.2	125
EOG092C59CG	Complete	jgi|Triat2|299044|estExt_fgenesh1_kg.C_contig_220086	294.1	183
EOG092C59G3	Complete	jgi|Triat2|212237|estExt_Genewise1Plus.C_contig_150282	370.1	328
EOG092C59NU	Complete	jgi|Triat2|302483|estExt_fgenesh1_kg.C_contig_280059	144.5	103
EOG092C59RA	Complete	jgi|Triat2|302057|estExt_fgenesh1_kg.C_contig_270691	76.3	63
EOG092C5A9A	Complete	jgi|Triat2|77949|Triat1.fgenesh1_pm.C_scaffold_1000534	147.0	81
EOG092C5AR8	Complete	jgi|Triat2|134016|Triat1.estExt_fgenesh1_pg.C_160208	200.9	174
EOG092C5BSI	Complete	jgi|Triat2|255317|fgenesh1_kg.contig_18_#_45_#_CBWT_CBYP_CBYT_CCAH_310_3	197.6	139
EOG092C5BSS	Complete	jgi|Triat2|88718|Triat1.fgenesh1_pg.C_scaffold_5000282	148.1	110
